id	rate
25015	0.9
25013	1.1
25027	0.975
25009	0.975
25025	1.2
25017	0.95
44007	1.125
33011	0.875
33015	0.775
23005	0.875
23001	0.875
50027	0.8
50007	0.825
50023	0.825
09003	1.025
09009	1.025
09001	0.95
34013	1.15
34039	0.95
34003	0.9
34025	0.875
34027	0.825
34007	1.0
34001	0.975
34021	0.925
36061	1.2
36005	1.25
36119	1.0
36059	0.925
36103	0.95
36093	0.875
36067	1.075
36029	1.1
36055	1.1
42003	1.05
42125	0.85
42129	0.9
42049	1.025
42043	0.925
42133	0.925
42071	0.95
42077	1.0
42101	1.25
42091	0.875
42011	1.0
10003	0.975
51107	0.775
24031	0.925
24003	0.85
24510	1.225
24021	0.8
24043	0.9
51059	0.925
51013	0.8
51510	0.85
51177	0.75
51041	0.825
51760	1.15
51710	1.1
51650	1.0
51570	0.8
51770	1.075
51775	0.775
51015	0.775
51019	0.8
54039	1.05
54011	1.05
37067	1.1
37081	1.175
37183	0.975
37063	1.05
37139	0.95
37159	1.0
37119	1.075
37129	1.05
37149	0.875
37021	0.975
45079	1.075
45019	1.05
45045	0.975
45007	0.975
13089	1.175
13067	0.975
13121	1.15
13135	1.025
13241	0.95
13245	1.125
13021	1.1
13051	1.075
12031	1.1
12073	1.1
12005	0.975
12033	1.025
12001	1.15
12117	0.95
12095	1.175
12061	0.9
12011	1.125
12086	1.225
12099	1.075
12057	1.15
12103	1.1
12105	1.125
12071	1.05
12081	0.975
12115	0.95
12111	1.075
01073	1.1
01089	1.0
01101	1.075
01097	1.15
47037	1.1
47065	1.0
47179	0.95
47163	1.0
47009	0.85
47093	1.075
47157	1.2
28125	1.0
28049	1.1
28035	1.05
21111	1.1
21067	1.1
21117	0.9
21059	0.95
39049	1.2
39095	1.15
39119	0.925
39093	0.95
39035	1.225
39153	1.05
39155	1.05
39099	1.075
39017	0.975
39061	1.15
39113	1.175
18097	1.2
18089	1.125
18039	0.925
18141	1.025
18003	1.05
18067	0.925
18035	1.075
18167	1.0
18157	1.05
26125	0.975
26161	1.025
26163	1.25
26049	1.15
26145	1.05
26065	1.125
26077	1.075
26075	0.925
26081	1.025
26139	0.85
19153	0.95
19013	0.975
19193	0.9
19163	0.95
55133	0.8
55079	1.2
55025	0.975
55035	0.875
55087	0.8
27123	1.05
27053	1.05
27137	0.975
27109	0.8
27067	0.825
27119	0.875
46099	0.85
46103	0.9
38035	0.875
30111	0.8
30013	0.9
30049	0.8
30063	0.95
30029	0.875
17097	0.925
17031	1.15
17089	0.95
17043	0.9
17197	0.875
17201	1.05
17143	0.975
17113	0.9
17019	1.075
17167	0.95
29189	0.975
29201	0.975
29095	1.1
29021	0.975
29019	1.025
29077	1.05
20177	0.875
20173	1.075
20169	0.85
31055	1.025
31109	0.95
31001	0.85
22051	1.1
22033	1.15
22017	1.15
22073	1.1
22079	1.05
05091	1.0
05119	1.125
05005	0.85
05143	1.025
40109	1.125
40143	1.125
48121	0.95
48085	0.9
48113	1.175
48183	1.0
48423	1.025
48439	1.125
48485	1.0
48201	1.2
48041	1.125
48469	0.9
48029	1.175
48355	1.05
48215	1.25
48453	1.075
48375	1.075
48303	1.125
48441	1.025
48135	0.95
48141	1.225
08059	0.85
08013	0.925
08031	1.075
08069	0.925
08123	0.925
08041	1.0
16001	0.95
49035	0.975
49057	0.9
04013	1.15
04023	0.975
04019	1.2
35001	1.125
35049	0.925
32003	1.15
32031	1.0
06037	1.175
06073	1.1
06065	1.15
06025	1.1
06059	1.075
06111	0.975
06083	1.025
06107	1.2
06029	1.225
06079	0.9
06019	1.25
06053	1.0
06081	0.875
06085	1.0
06075	0.975
06013	0.975
06095	0.95
06001	1.025
06041	0.825
06087	0.975
06099	1.05
06097	0.9
06023	1.05
06067	1.175
06017	0.825
06089	1.05
15009	0.8
15003	0.95
41051	1.075
41047	1.0
41003	1.0
41039	1.15
41033	0.975
53033	1.0
53035	0.875
53061	0.925
53053	1.05
53067	0.875
53027	0.925
53011	0.875
53063	1.025
53021	0.925
02090	0.775
